change_plants|Change Plants
transported_to|Transported to [0] times.
used_as_stopover|Used as stopover [0] times.
change_space_ship|Change Space Ship

upgrade_basic_houses|Upgrade Basic Houses

manage_birth_control|Manage Birth Control

misdirected|Misdirected [0] times.

change_exhibition|Change Exhibition
change_light_show|Change Light Show
colorful|Colorful
fast_red|Fast & Red
slow_blue|Slow & Blue
rainbow_light|Rainbow Light
romantic_pink|Romantic & Pink
change_door_color|Change Door Color

change_machines|Change Machines

forever_grateful|We will be forever grateful.
jobs_filled_secretsociety|Give us the followers we need:\nMake sure all 8 jobs are filled.
secret_society_mission_0|Improve Our Home:\nResearch Secretive Living in the Living Research Center.
secret_society_mission_1|Increase Production:\nProduce 1000 Wood in one day.
secret_society_mission_2|Green the City:\nBuild fifty Botanical Gardens.
secret_society_mission_3|Display the Statues:\nBuild twelve Sculpture Gardens.
secret_society_mission_4|Improve Transportation:\nBuild seven Teleporters.
secret_society_mission_5|House the Rich:\nBuild five Villas.
secret_society_mission_6|Know the Hidden:\nGain at least 1000 Knowledge in a day.
secret_society_mission_7|Finish Our Project:\nBuild the Machine.
secret_society_mission|Secret Society Mission

change_sculptures|Change Sculptures
dev_message|A Message from the Developer
climate_crisis_message_1|Let's ensure elephants are not just pixely statues on tiny worlds in 2142. The climate crisis is the most important threat facing wildlife - and humans.
see_what_you_can_do|See What You Can Do

change_statue|Change Statue

stone_mining_boost|Current stone mining boost: [0]%
stone_mining_boost_base|This is based on the number of workers and on yesterday's knowledge production.
fossils_found|Fossils found: [0]

stone_left|[0] stone left in this meteoroid.
waiting_for_worker_teleport|Waiting for a worker to press the teleport button...
teleporting_meteroid|Teleporting a meteoroid...
something_went_wrong_stone|Something went wrong while updating the stone sprite.

teleporters_operating_cost|Teleporters operating cost:\n[0] knowledge/day
cant_enable_teleporters|You can't enable teleporters right now as you don't have enough knowledge for the operating costs!
disable_all_teleporters|Disable All Teleporters
keep_teleporters_disabled|Keep Teleporters Disabled
enable_all_teleporters|Enable All Teleporters

today_production|Today's Production:
total_production|Total Production:
next_production_in_n|Next production in [0] hours.
next_production_in_1|Next production in 1 hour.

train_boarded_here|Train boarded here [0] times.
train_alighted_here|Train alighted here [0] times.
change_top_half_furniture|Change top half furniture
change_bottom_half_furniture|Change bottom half furniture
change_trains|Change Trains

trees_grown|Trees [0]% grown.
wood_left|[0]/[1] wood left.

workers_of|Workers of [0]
no_workers|No workers
workers|[0]/[1] workers

tap_near_citizen_to_follow|[Tap] near a citizen to follow them.

tap|tap
click|click

city|City
file_description|[0] - [1] citizens

boost_activated|Boost Activated!
boost_activated_description|All resource production is now doubled for a while! Additionally, you got the following bonus reward:

birth_control|Birth Control
greatly_discourage_children|Greatly Discourage Getting Children
pop_stabilize|The population will roughly stabilize.
encourage_contraception|Encourage Contraception
slow_pop_growth|The population will grow slowly.
no_special_policy|No Special Policy
babies_born_normal|Babies will be born at the normal rate.
encourage_parenthood|Encourage Parenthood
more_babies_born|More babies will be born, as long as the happiness is high enough.

you_have_enough_wood|You have enough wood. Let's build the stone mine!
build|Build
back|Back
management|Management

already_built|Already Built
unique|Unique
also_unlocks_new|Also unlocks new buildings.
building_a_building|Building [0]
placing_a_decoration|Placing [0]
planting_a_forest|Planting [0]

build_anywhere|Build anywhere in a tower.
build_mode_insert|Building mode: Insert
build_mode_normal_explanation|Build only on the ground and on top of buildings, or just below rooftop buildings. [Tap] on a building for information and options.
build_mode_normal|Building mode: Normal
build_mode_replace_explanation|Easily replace existing buildings.
build_mode_replace|Building mode: Replace
build_mode_multi_explanation|Drag to quickly build multiple buildings of the same type.
build_mode_multi|Building mode: Multi
build_mode_destroy_explanation|Quickly destroy buildings.
build_mode_destroy|Destroy Mode

build_anywhere_pc|With this building mode active, you can build anywhere in a tower.
build_mode_insert_explanation_pc|After having selected a building to build, click on a building to insert a new building there.
build_mode_insert_explanation_pc_b|Click on a building to insert a new building there.
build_mode_multi_explanation_pc|With this building mode active, you can drag to quickly build multiple buildings of the same type.
build_mode_replace_explanation_pc|With this building mode active, you can easily replace existing buildings.
build_mode_normal_explanation_pc|With this building mode active, you can only build on the ground and on top of buildings. Click on a building for information and options.
exception|Exception:
click_rooftop_selected|if you have a building type selected, clicking on a rooftop building will build a building there.
click_rooftop|clicking on a rooftop building will build a building there.

all_building_modes|All Building Modes
follow_citizen|Follow Citizen
upgrades_and_policies|Upgrades and Policies
highlight_buildings|Highlight Buildings
ctrl_to_highlight|Tip: you can also hold Ctrl while hovering over a building button to highlight all buildings of that type.
commute_explorer_gate|The Commute Explorer shows you travel time and citizen routes.\nGet this feature and more with the premium version! Alternatively, watch a short ad to unlock it for the next 30 minutes.
commute_explorer|Commute Explorer

change_city_name|Change City Name
give_city_name|Give your city a name!
city_name|City name

main_goal|Main Goal
current_task|Current Task
current_tasks|Current Tasks
click_or_space|Click (or press Space)
to_pause|to pause.
to_unpause|to resume.
game_paused|Game Paused
game_running|Game Running
normal_speed|Normal Speed
onepointfive_speed|1.5x Speed
double_speed|Double Speed
half_speed|Half Speed
threequarter_speed|0.75x Speed
change_game_speed_mobile|Tap to change the game speed.
change_game_speed_pc|Click (or press S) to change the game speed.\nCtrl+Click to select an advanced speed.
keep_paused_help|Shift to keep the game paused.
game_menu|Game Menu
show_extra_info|Show extra city info & options.
hide_extra_info|Hide extra city info & options.
alien_ruins_find|Your alien ruins found something!
population|Population
total_amount_of_citizens|The total amount of citizens in your city.
is_one_child|There is one child
are_n_children|There are [0] children.
tap_for_age_distribution|[Tap] for the age distribution.
tap_for_age_distribution_or_pop_limit|[Tap] for the age distribution or to change the population limit.
follow_hint|Tip: to follow a citizen, Ctrl+Click on them.
food_shortage_unhappiness|Food shortage unhappiness:
food_rationing_unhappiness|Food rationing unhappiness:
mandatory_overtime_unhappiness|Mandatory overtime unhappiness:
new_city_enthousiasm|New city enthusiasm bonus:
happiness_explainer|Happy citizens work faster. They also get more children.
home_happiness|Home happiness:
sense_of_purpose|Sense of purpose (job/school):
entertainment_happiness|Entertainment happiness:
education_happiness|Education happiness:
medical_happiness|Medical happiness:
citizens_work_at_speed|With the current happiness, citizens work at [0]x their normal speed.
happiness|Happiness
total_happiness|Total Happiness:
work_speed_modifier|Work Speed Modifier:
housing|Housing
work|Work
work_tooltip|People with a job / total labor force.\nThere are [0] jobs.\n[Tap] to assign workers.

food|food
wood|wood
stone|stone
knowledge|knowledge
machine_parts|Machine Parts
refined_metals|Refined Metals
computer_chips|Computer Chips
graphene|Graphene

operating_cost|Operating buildings cost [0] [1] yesterday and [2] today so far.
factory_operating_cost|Your factories used [0] [1] yesterday and [2] today so far.
citizen_production_cost|Your citizens produced [0] [1] yesterday and [2] today so far.
not_enough_food|You don't have enough food! The next [0] food you produce will be eaten instantly by hungry citizens.

wood_use|Used to build.
stone_use|Used to build and to create machine parts. Can also be purified to refined metals.
knowledge_use|Used for research.
machine_parts_use|Used to build machines and advanced buildings.
refined_metals_use|Used to create advanced buildings and computer chips.
computer_chips_use|Used to create smart machines.
graphene_use|Extremely thin, yet among the strongest materials ever tested.

see_wood_here|See your wood here.
great_gather_stone|Great! Now, let's gather 6 wood and 4 stone.
you_have_enough_stone|You have enough stone for now! Let's get some workers back on cutting wood.
reduce_stone_mining_priority|Reduce the priority of stone mining.
increase_woodcutting_priority|Increase the priority of woodcutting!
hint_hint|Tip! If you ever forget what to do, just tap on the ? here.
hint_hint_pc|Tip! If you ever forget what to do, just hover over the ? here.
speedup_hint|Tip! If you ever think the game is going a bit too slowly, you can speed it up with the button here.

climate_crisis_explainer_1|Let's Stop the Climate Crisis!
climate_crisis_explainer_2|As you probably know, our climate is changing because of greenhouse gas emissions caused by humans. We only have about a decade left to drastically reduce emissions if we want to prevent the worst effects, which could include flooding, droughts and major health risks. Here are just a few actions you can take:
climate_crisis_explainer_3|Vote!
climate_crisis_explainer_4|It is very important that governments create laws that help companies and people reduce greenhouse gas emissions. Therefore, please vote for a sensible party whenever you can.
climate_crisis_explainer_5|Eat Less Meat
climate_crisis_explainer_6|There are amazing meat alternatives, that taste great and cause far less harmful emissions. Also, beans or nuts can be a good alternative source of protein.
climate_crisis_explainer_7|Don't Fly
climate_crisis_explainer_8|Flying causes a huge amount of CO2 emission. Stay on the ground whenever you can. If you like to travel, taking the train is a great, fun option!
climate_crisis_explainer_9|Be Informed
climate_crisis_explainer_10|Knowledge is power! Read climate news and facts on sites like The Guardian Environment and the Climate Reality Project.
thanks_signoff|Thanks,
read_more_link|Read More (External Link)

per_building|per building
for_one_building|for one building
for_this_building|for this building
for_all_buildings|for all buildings
for_n_buildings|for [0] buildings
remove|Remove
change_appearance_upgrade|Change the appearance of this upgrade.
upgrades|Upgrades
upgrade_only_this|Upgrade only this building.
upgrade_afford|Upgrade as many buildings of this type as you can afford. There are [0].
upgrade_all_explain|Upgrade all buildings of this type. There are [0].
building_modes|Building Modes
building_mode_only_this|Set the building mode of only this building.
building_mode_afford|Set the building mode of as many buildings of this type as you can afford. There are [0].
building_mode_all_explain|Set the building mode of all buildings of this type. There are [0].
city_upgrades|City Upgrades
city_policies|City Policies
credits|Credits
game_by|A game by Florian van Strien.
music_by|Music & SFX by Stijn Cappetijn.
credits_software|Software
credits_software_1|Built with Haxe.
credits_software_2|Rendered with pixi.js.
early_feedback|Early Feedback: Douwe
thanks_for_playing|Thanks a lot for playing!
localized_by|

current_tasks|Current Tasks
current_task|Current Task

following|Following [0]
this_citizen|this citizen

education_level_0|None
education_level_1|Poor
education_level_2|Weak
education_level_3|Limited
education_level_4|Moderate
education_level_5|Fair
education_level_6|Good
education_level_7|Very Good
education_level_8|Great
education_level_9|Superior
education_level_10|Excellent
education_level_11|Exceptional
education_level_12|Amazing
education_level_13|Incredible
education_level_14|World-Class
education_level_15|Phenomenal
age_and_education|Age: [0]\nEducation: [1]
change_home_job|Change Home/Job
change_home_school|Change Home/School
citizen_passed_away|Unfortunately, [0] passed away. :(
for_citizen|for [0]
following_fish|Following Fish
cant_find_fish|You can't find the fish anymore.
customize_free_play|Customize Free Play
starting_resources|Starting Resources
normal_resources|Normal Resources
extra_resources|Extra Resources
unlimited_resources|Unlimited Resources
starting_citizens|Starting Citizens
buildings_research|Starting Buildings & Research
standard_unlocks|Standard Unlocks
most_unlocks|Most Unlocks

last_saved|Last saved [0] seconds ago.
temp_save|Warning: temporary save!
use_save_slot|Which save slot would you like to save to?
use_save_slot_2|Which save slot would you like to use?
save_command|Save...
load_command|Load...
which_city_load|Which city would you like to load?
export|Export
import_command|Import...
new_city|New City
next_scenario|Next Scenario
restart_scenario|Restart Scenario
restart_scenario_question|Restart Scenario?
sure_restart|Are you sure you'd like to restart the scenario from the beginning?
restart|Restart
undo_restart|Undo Restart

no_upgrades|No upgrades available.
auto_upgrade|Auto-Upgrade
upgrade_all_labs|Upgrade all labs with the relevant upgrade(s) for their adjacent buildings.

housing_information|Housing Information

start_scenario|Start Scenario
free_play|Free Play
unlock_all|Unlock All
welcome_back|Welcome Back!
import_city|Import City
got_export|Got an exported save file?

best_time|Best time: [0]d [1]h [2]m

to_research|to research

music_volume|Music Volume
sound_effect_volume|Sound Effect Volume
hide_boost_button|Hide Boost Button
color_blind_mode|Color Blind Mode for\nCommute Explorer
enable_unlimited_resources|Enable Unlimited Resources
disable_unlimited_resources|Disable Unlimited Resources
play_unlimited|Do you want to play with unlimited resources for this save file?
stop_play_unlimited|Do you want to play with normal resource contraints? You can always re-enable unlimited resources later.
yes|Yes
unlimited|Unlimited
visit_store|Visit the Store
pathfinding_thread_limit|Pathfinding Thread Limit:
pathfinding_thread_limit_explain|Pathfinding threads are used to compute movement paths for citizens. If all pathfinding threads are busy, citizens may stand still and wait until one is available. Increasing this will improve the simulation in large cities. The recommended value is the number of physical cores of your processor minus one. Higher values may have a negative impact on the frame rate.\nIf you don't know what this all means, I completely understand! Just keep this at the default.
reset_pathfinding_limit|Click to reset the pathfinding thread limit to the default.
have_or_want_code|Have or want a Secret Code?
have_code|Have a Secret Code?
input_code|Input Secret Code
mailing_list_help_2|I'll send you cool The Final Earth 2 news and facts, plus info on my future releases!\n\nPlus, as a small gesture of thanks, you'll get a secret code to unlock some nice cosmetic options right away!

pop_by_age|Population by Age
citizens_and_children|There are [0] citizens, of whom [1] children.
citizens_by_age_explain|The amount of citizens of each age is shown below.
one_citizen_age|One citizen is [0] years old.
n_citizens_age|[0] citizens are [1] years old.
one_citizen_age_oldest|One citizen is [0] years old. The oldest is [1].
n_citizens_age_oldest|[0] citizens are [1] years old. The oldest is [2].
one_citizen_age_upper_range|One citizen is [0] or older.
n_citizens_age_upper_range|[0] citizens are [1] or older.
one_citizen_age_range|One citizen is between [0] and [1] years old.
n_citizens_age_range|[0] citizens are between [1] and [2] years old.
pop_limit|Population Limit:
reset_pop_limit|[Tap] to reset the population limit to the default.
pop_limit_hint|Your population will no longer grow once you reach this limit. Please note that increasing this may result in a low frame rate and/or severe lag!

upgrade_basic_houses_hint|Basic Houses can't be upgraded to 100 quality. Instead, you can quickly upgrade them all to another type here.\n\nFirst, select a type to upgrade to:
upgrade_to_x|Upgrade to [0]
no_basic_houses|There are no basic Houses.
confirm|Confirm
no_undo|Please note this cannot be undone.
upgrade_basic_for|Upgrade [0] of [1] basic Houses for:
upgraded_houses|Success! Upgraded [0] houses.
choose_save_slot|Choose Save Slot
load_a_game|Load a Game
empty|(empty)
overwrite|(overwrite)
really_overwrite|Really overwrite slot [0]?
slot_n|Slot [0]

secret_code|Secret Code
secret_code_use|You can use secret codes to unlock cool cosmetic options.
secret_code_acquire|Subscribe to my mailing list, and I'll send you a code right away as a small gesture of thanks! I'll also update you on this game and future releases.
sample_code_1|Plus, you can try the following code as a reward for your curiosity:
sample_code_2|You can try the following code as a reward for your curiosity:
secret_code_activated|Secret Code Activated!
secret_code_1|You can now change the light show of night clubs!
secret_code_2|Thanks a lot for having subscribed to my mailing list! New plant and flower options have now been unlocked.
secret_code_3|You can now choose between multiple space ships for Landing Pads.
enter_a_secret_code|Enter a Secret Code
enter_secret_code|Enter Secret Code
secret_code_incorrect|Unfortunately, that code isn't correct!
citizen_name_stats|Your [0] citizens share [1] unique names. The most common one is [2], which occurs [3] times.
landing_pads_stats|In total, your landing pads have been used [0] times, including [1] times as stopover.
landing_pads_air|Right now, there are [0] space ships in the air, containing [1] people.
hyper_elevators_stats|Your hyper elevators have been used [0] times.
train_station_stats|Your train stations have been used [0] times.
teleporter_stats|Your teleporters have been used [0] times.
stats_info|Alright, here are some stats about your city!
building_stats|There are [0] buildings. The highest tower is [1] buildings high.

one|One
max|Max
all|All

assign_workers|Assign Workers
set_priority_jobs_mobi|Tap to set the number of priority jobs to the current number of workers.
set_priority_jobs_desktop|Click to set the number of priority jobs to the current number of workers. Shift+Click to set it to 0. Ctrl+Click to set it to max.
no_work_buildings|There are no buildings with work yet!

highlighting|Highlighting [0]
select_any|Select Any

today|Today
yesterday|yesterday
n_days_ago|[0] days ago
production|Production
usage|Usage

store|Store
store_description|Unlock extra features, or just remove ads. I really appreciate your support!
already_has_premium|You already have the premium edition, thank you!
premium_upgrade|Upgrade to Premium Edition
get_premium_edition|Get Premium Edition
removed_ads_already|You have already removed ads, thank you!
remove_ads|Remove Ads
remove_ads_1|Remove all unprompted ads
remove_ads_2|Boost without watching an ad
store_not_available|The store isn't available right now. Please try again later!
purchase_failed|Something went wrong while trying to purchase this. Please check your internet connection and try again later.
purchase_processing|This purchase is currently being processed. If you need help with this purchase, you can contact me at info@florianvanstrien.nl
purchased|Purchased
not_available|n/a

selected_x|Selected: [0]
deselect|Deselect
no_info_for_building|No info for this building
no_average_yet|No average yet
average_travel_time|Average: [0] minutes
collapse_info|Collapse Info
show_info|Show Info
check_commute_time|See how long citizens spend on their commute, based on last morning. [Tap] on a building for routes.
data_available_time|It takes about a day before data is available and accurate.
just_created_save|Please note: you just created this city.
just_loaded_save|Please note: you just loaded this save.

thanks_very_much|Thank you very much!
premium_activated|The premium content has now been activated. Also, be sure to check out the Advanced Settings in the game menu for some new options.
remove_ads_activated|You will no longer see non-rewarded ads, and can boost without watching an ad. Alternatively, you can remove the boost button from the Advanced Settings.
premium_upgrade_activated|The premium content has now been activated.
ad_failed_to_load|Sorry, the ad failed to load! Please try again later.
watch_ad_temp_unlock|Watch ad to temporarily unlock
mod_resource_not_loaded|A mod resource couldn't be loaded.
technical_details|Technical details:

first_house_cheaper|The first house is cheaper as you can use some scrap material from your ship.
change_pop_limit|[Tap] on the population counter to change this limit.
pop_limit_reached|Population limit reached!

claim_within_n_s|Claim within [0]s.
2x_boost|2x boost duration!
3x_boost|3x boost duration!
double_bonus_boost|Double bonus resources!
triple_bonus_boost|Triple bonus resources!
2x_boost_claimed|You successfully claimed a special boost. This boost will last twice as long!
3x_boost_claimed|You successfully claimed a special boost. This boost will last three times as long!
double_bonus_boost_claimed|You successfully claimed a special boost. The bonus resource reward above has been doubled!
triple_bonus_boost_claimed|You successfully claimed a special boost. The bonus resource reward above has been tripled!
boost_failed|Sorry, the Boost failed to load! Please try again later.
boost|Boost
boost_active|Boost Active
boost_active_description|All resource production is now doubled!
boost_use_case|Double your resource production for a while by watching a short ad!
boost_earn_extra_reward|Plus, instantly get a random extra resource reward!

rationing_halves_this|Rationing halves this.
food_description_1|Your citizens need to eat!
food_description_2|Adults eat about one food per day, children eat 1/2 food.
food_description_3|Herbs reduce this by [0]/[1]%.
food_description_4|Currently, [0] food is being consumed each day.

night_clubs|Night Clubs
pubs_restaurants|Pubs & Restaurants
art|Art
nature|Nature
gaming|Gaming
libraries|Libraries

citizens_unhappy|Your citizens are very unhappy! They work much slower while they're unhappy, so it's a good idea to solve their problems.
more_happiness_info|[Tap] on the Happiness button near the bottom right for more information.
citizens_unhappy_title|Your citizens are unhappy!

operating_cost_pd|Operating cost/day:
festival_doing|Now having a festival!
music_festival_boost|Music Festival Boost
music_festival_planned|You planned an awesome Music Festival!
music_festival_doing|Now entertaining your citizens with a great Music Festival!
alien_ruins|Alien Ruins

alien_ruins_find_1a|Overgrown
alien_ruins_find_1b|Big Rock
alien_ruins_find_1c|Small Pebbles
alien_ruins_find_1d|Alien Refrigerator
alien_ruins_find_1e|Orange Rocks
alien_ruins_find_2a|Purple Wood
alien_ruins_find_2b|Huge Pillar
alien_ruins_find_2c|Beeping Device
alien_ruins_find_2d|Canned Food
alien_ruins_find_2e|Mushrooms
alien_ruins_find_3a|Box with Wires
alien_ruins_find_3b|Pile of Wood
alien_ruins_find_3c|Large Stone Door
alien_ruins_find_3d|Berry Bushes
alien_ruins_find_3e|Gears
alien_ruins_find_4a|Farming Rock Paintings
alien_ruins_find_4b|Alien Housing Blueprint
alien_ruins_find_4c|Alien Factories Information
alien_ruins_find_4d|Alien Brain
alien_ruins_find_4e|Strange Device

alien_ruins_description_1a|Your explorers chopped some roots for 20 wood.
alien_ruins_description_1b|Your explorers found a big rock containing 25 stone.
alien_ruins_description_1c|Your explorers almost tripped over a huge heap of small pebbles. They gathered them for 22 stone.
alien_ruins_description_1d|Your explorers found an alien refrigerator with 12 food in it. They then dismantled it for 5 machine parts.
alien_ruins_description_1e|Your explorers laid eye on some orange rocks. They are good for 35 stone.

alien_ruins_description_2a|Your explorers found a hidden supply of 40 strange purple wood.
alien_ruins_description_2b|Your explorers cut down a huge pillar that stood in their way. It contained 35 stone.
alien_ruins_description_2c|Your explorers dismantled a weird beeping device and gained 20 machine parts.
alien_ruins_description_2d|Your explorers found a pile of cans with sweet-tasting luminous plants in it. The plants turned out to be quite nutritious, so your citizens can eat them for 42 food.
alien_ruins_description_2e|Your explorers found some suspicious mushrooms. Very carefully, they tasted a bit. To everyone's surprise, they actually taste pretty good and you got 55 food.

alien_ruins_description_3a|Your explorers found a wooden box filled with wires. The box was made of 10 wood and the wires work as 5 machine parts.
alien_ruins_description_3b|Your explorers found a large pile with 17 wood.
alien_ruins_description_3c|Your explorers cut down a large stone door and gained 15 stone.
alien_ruins_description_3d|Your explorers found some berry bushes containing 22 food.
alien_ruins_description_3e|Your explorers found a pile of gears. They work as seven machine parts.

alien_ruins_description_4a|Your explorers found some paintings on a rock of a better way to farm. Farmers now get 5 more food from each harvest.
alien_ruins_description_4b|Your explorers found a blueprint to build an alien house.
alien_ruins_description_4c|Your explorers found a book containing information about alien factories. With this knowledge, machine parts factories now work 10% faster.
alien_ruins_description_4d|Your explorers found a perfectly preserved alien brain in a jar. With knowledge about its structure, researchers in labs understand the human brain better and can gather knowledge 5% faster.
alien_ruins_description_4e|Your explorers found a small device, that may have something to do with the inaccessible worlds.

n_pct_explored|[0]% explored.
findings|Findings
exploration_nothing_found|Your explorers haven't found anything here yet!
move_ruins_howto|[Tap] on an empty space on a world to move these alien ruins.
move|Move

language|Language
this_language_name|English

forest|Forest
pine_forest|Pine Forest
